10	x	y	xelow	xeup	yelow	yeup
60	4.65E+009	5.77E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
61	4.65E+009	3.34E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
62	5.88E+009	3.34E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
63	5.88E+009	1.36E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
64	7.43E+009	1.36E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
65	7.43E+009	2.96E-009	0.00E+000	0.00E+000	0.00E+000	0.00E+000
66	9.39E+009	2.96E-009	0.00E+000	0.00E+000	0.00E+000	0.00E+000
67	9.39E+009	7.34E-008	0.00E+000	0.00E+000	0.00E+000	0.00E+000
68	1.19E+010	7.34E-008	0.00E+000	0.00E+000	0.00E+000	0.00E+000
69	1.19E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
70	1.50E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
71	1.50E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
72	1.89E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
73	1.89E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
74	2.39E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
75	2.39E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
76	3.03E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
77	3.03E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
78	3.83E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
79	3.83E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
80	4.83E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
81	4.83E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
82	6.11E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
83	6.11E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
84	7.72E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
85	7.72E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
86	9.76E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
87	9.76E+010	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
88	1.23E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
89	1.23E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
90	1.56E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
91	1.56E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
92	1.97E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
93	1.97E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
94	2.49E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
95	2.49E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
96	3.15E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
97	3.15E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
98	3.98E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
99	3.98E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
100	5.03E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
101	5.03E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
102	6.35E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
103	6.35E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
104	8.03E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
105	8.03E+011	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
106	1.01E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
107	1.01E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
108	1.28E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
109	1.28E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
110	1.62E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
111	1.62E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
112	2.05E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
113	2.05E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
114	2.59E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
115	2.59E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
116	3.27E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
117	3.27E+012	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000

