tim_000.dat
2 2	192 22 409367	192 28 409778
2 2	192 22 409367	192 50 409675
2 2	192 22 409367	192 56 409171
2 2	192 28 409778	192 50 409675
2 2	192 56 409171	192 115 408671
2 2	236 116 75572.2	236 172 75514.3
2 2	236 116 75572.2	236 201 75725
2 2	236 116 75572.2	236 209 76012.5
2 2	236 116 75572.2	236 123 76000
2 2	236 116 75572.2	236 190 75320
2 2	236 39 74860	236 56 75020
2 2	236 39 74860	236 190 75320
2 2	236 56 75020	236 172 75514.3
2 2	236 56 75020	236 190 75320
2 2	236 172 75514.3	236 201 75725
2 2	236 172 75514.3	236 209 76012.5
2 2	236 172 75514.3	236 123 76000
2 2	236 172 75514.3	236 190 75320
2 2	236 201 75725	236 209 76012.5
2 2	236 201 75725	236 123 76000
2 2	236 201 75725	236 190 75320
2 2	236 209 76012.5	236 224 76434.8
2 2	236 209 76012.5	236 123 76000
2 2	236 224 76434.8	236 239 76535.3
2 2	236 224 76434.8	236 251 76628.6
2 2	236 224 76434.8	236 123 76000
2 2	236 239 76535.3	236 251 76628.6
2 2	247 175 312075	247 181 311975
2 2	247 175 312075	248 194 312338
2 2	247 175 312075	248 200 312117
2 2	247 181 311975	248 194 312338
2 2	247 181 311975	248 200 312117
2 2	248 194 312338	248 200 312117
tim_025.dat
2 2	99 47 263511	100 39 263910
2 2	111 143 60220	112 207 60251.1
2 2	125 38 960042	134 216 960050
2 2	231 47 197225	236 137 197350
2 2	235 84 425225	236 246 425255
2 2	235 84 425225	237 184 425225
2 2	236 246 425255	237 184 425225
tim_026.dat
2 2	77 89 524214	107 222 524550
2 2	77 89 524214	107 227 524038
2 2	102 246 811800	102 251 811375
2 2	133 117 95083.3	133 129 95520
2 2	133 117 95083.3	137 214 95290.9
2 2	133 129 95520	135 165 95770.8
2 2	133 129 95520	137 214 95290.9
2 2	135 165 95770.8	137 214 95290.9
1 2	241 104 527271	103 1 527057
tim_027.dat
2 2	39 48 935385	39 57 935243
2 2	39 48 935385	39 42 935817
2 2	50 201 860723	50 225 860669
2 2	95 230 328643	95 245 328388
2 2	95 245 328388	96 250 328038
2 2	226 133 566507	226 148 566258
2 2	226 133 566507	226 165 566300
2 2	226 133 566507	226 187 566258
2 2	226 133 566507	226 224 566603
2 2	226 133 566507	227 62 566695
2 2	226 133 566507	226 199 566075
2 2	226 133 566507	226 205 566471
2 2	226 133 566507	226 243 566658
2 2	226 133 566507	227 253 566975
2 2	226 148 566258	226 165 566300
2 2	226 148 566258	226 187 566258
2 2	226 148 566258	226 224 566603
2 2	226 148 566258	227 62 566695
2 2	226 148 566258	226 199 566075
2 2	226 148 566258	226 205 566471
2 2	226 148 566258	226 243 566658
2 2	226 165 566300	226 187 566258
2 2	226 165 566300	226 224 566603
2 2	226 165 566300	227 62 566695
2 2	226 165 566300	226 199 566075
2 2	226 165 566300	226 205 566471
2 2	226 165 566300	226 243 566658
2 2	226 187 566258	226 224 566603
2 2	226 187 566258	227 62 566695
2 2	226 187 566258	226 199 566075
2 2	226 187 566258	226 205 566471
2 2	226 187 566258	226 243 566658
2 2	226 224 566603	227 62 566695
2 2	226 224 566603	226 205 566471
2 2	226 224 566603	226 243 566658
2 2	226 224 566603	227 253 566975
2 2	227 62 566695	226 205 566471
2 2	227 62 566695	226 243 566658
2 2	227 62 566695	227 253 566975
2 2	226 199 566075	226 205 566471
2 2	226 205 566471	226 243 566658
2 2	226 243 566658	227 253 566975
tim_028.dat
2 2	178 66 801475	179 82 801480
2 2	178 66 801475	182 234 801491
2 2	179 82 801480	182 234 801491
1 2	136 159 601517	56 178 601474
tim_029.dat
1 1	241 223 769884	242 174 769883
2 2	77 4 931680	77 14 932110
2 2	77 4 931680	78 40 931988
2 2	77 4 931680	80 74 932100
2 2	77 14 932110	78 23 932380
2 2	77 14 932110	78 40 931988
2 2	77 14 932110	79 56 932421
2 2	77 14 932110	80 74 932100
2 2	78 23 932380	78 40 931988
2 2	78 23 932380	79 56 932421
2 2	78 23 932380	80 74 932100
2 2	78 40 931988	79 56 932421
2 2	78 40 931988	80 74 932100
2 2	79 56 932421	80 74 932100
2 2	115 155 70860	114 210 71080
2 2	115 155 70860	115 236 71188.9
2 2	114 210 71080	115 236 71188.9
2 2	186 145 214725	186 165 214625
2 2	207 5 372495	209 31 372211
2 2	208 16 371925	209 31 372211
2 2	226 77 777275	225 126 777620
2 2	226 141 778975	225 146 778600
2 2	226 159 779670	226 166 779900
tim_030.dat
2 2	94 134 434010	95 154 434243
2 2	103 42 461412	105 108 461400
2 2	103 52 345800	104 68 345550
2 2	103 52 345800	105 112 345575
2 2	103 52 345800	105 120 345625
2 2	103 52 345800	106 130 346000
2 2	103 52 345800	106 137 345433
2 2	103 52 345800	106 146 345420
2 2	103 52 345800	106 152 345640
2 2	103 52 345800	107 178 345736
2 2	103 52 345800	108 195 345500
2 2	103 52 345800	108 207 345340
2 2	103 52 345800	110 249 345807
2 2	104 68 345550	105 112 345575
2 2	104 68 345550	105 120 345625
2 2	104 68 345550	106 130 346000
2 2	104 68 345550	106 137 345433
2 2	104 68 345550	106 146 345420
2 2	104 68 345550	106 152 345640
2 2	104 68 345550	107 167 345257
2 2	104 68 345550	107 178 345736
2 2	104 68 345550	108 195 345500
2 2	104 68 345550	108 207 345340
2 2	104 68 345550	110 249 345807
2 2	105 112 345575	105 120 345625
2 2	105 112 345575	106 130 346000
2 2	105 112 345575	106 137 345433
2 2	105 112 345575	106 146 345420
2 2	105 112 345575	106 152 345640
2 2	105 112 345575	107 167 345257
2 2	105 112 345575	107 178 345736
2 2	105 112 345575	108 195 345500
2 2	105 112 345575	108 207 345340
2 2	105 112 345575	110 249 345807
2 2	105 120 345625	106 130 346000
2 2	105 120 345625	106 137 345433
2 2	105 120 345625	106 146 345420
2 2	105 120 345625	106 152 345640
2 2	105 120 345625	107 167 345257
2 2	105 120 345625	107 178 345736
2 2	105 120 345625	108 195 345500
2 2	105 120 345625	108 207 345340
2 2	105 120 345625	110 249 345807
2 2	106 130 346000	106 152 345640
2 2	106 130 346000	107 178 345736
2 2	106 130 346000	108 195 345500
2 2	106 130 346000	110 249 345807
2 2	106 137 345433	106 146 345420
2 2	106 137 345433	106 152 345640
2 2	106 137 345433	107 167 345257
2 2	106 137 345433	107 178 345736
2 2	106 137 345433	108 195 345500
2 2	106 137 345433	108 207 345340
2 2	106 137 345433	110 249 345807
2 2	106 146 345420	106 152 345640
2 2	106 146 345420	107 167 345257
2 2	106 146 345420	107 178 345736
2 2	106 146 345420	108 195 345500
2 2	106 146 345420	108 207 345340
2 2	106 146 345420	110 249 345807
2 2	106 152 345640	107 167 345257
2 2	106 152 345640	107 178 345736
2 2	106 152 345640	108 195 345500
2 2	106 152 345640	108 207 345340
2 2	106 152 345640	110 249 345807
2 2	107 167 345257	107 178 345736
2 2	107 167 345257	108 195 345500
2 2	107 167 345257	108 207 345340
2 2	107 178 345736	108 195 345500
2 2	107 178 345736	108 207 345340
2 2	107 178 345736	110 249 345807
2 2	108 195 345500	108 207 345340
2 2	108 195 345500	110 249 345807
2 2	108 207 345340	110 249 345807
2 2	141 4 818417	142 14 818056
2 2	141 4 818417	142 42 818100
2 2	142 14 818056	142 42 818100
2 2	149 35 22183.3	149 87 22575
2 2	149 59 22725	149 82 23200
2 2	149 59 22725	149 87 22575
2 2	149 59 22725	151 127 23120
2 2	149 82 23200	150 105 23316.7
2 2	149 82 23200	151 127 23120
2 2	150 105 23316.7	151 127 23120
2 2	168 161 58750.6	168 120 58958.3
2 2	170 79 580288	171 91 580043
2 2	222 2 254720	222 10 255200
tim_031.dat
2 2	35 87 288633	37 130 288943
2 2	35 87 288633	37 141 288950
2 2	35 87 288633	37 159 288871
2 2	37 130 288943	37 141 288950
2 2	37 130 288943	37 159 288871
2 2	37 141 288950	37 159 288871
2 2	38 186 290046	38 174 289725
2 2	38 186 290046	40 231 290459
2 2	89 103 803250	89 117 803267
2 2	101 151 396740	101 166 396567
2 2	101 166 396567	101 181 396200
2 2	101 181 396200	102 248 395720
2 2	103 240 395360	102 248 395720
2 2	252 40 960040	255 101 960040
tim_032.dat
2 2	2 208 960040	66 18 960047
2 2	2 208 960040	69 158 960045
2 2	31 236 824007	32 253 824300
2 2	32 246 824540	32 253 824300
2 2	66 18 960047	69 158 960045
2 2	109 8 393237	111 102 393043
2 2	186 53 775310	187 62 774820
2 2	186 53 775310	187 67 774860
2 2	186 53 775310	187 81 775111
2 2	186 53 775310	187 75 775040
2 2	186 53 775310	188 120 775229
2 2	186 53 775310	188 136 775216
2 2	187 62 774820	187 67 774860
2 2	187 62 774820	187 81 775111
2 2	187 62 774820	187 75 775040
2 2	187 62 774820	187 99 774583
2 2	187 62 774820	188 109 774500
2 2	187 62 774820	188 120 775229
2 2	187 62 774820	188 136 775216
2 2	187 67 774860	187 81 775111
2 2	187 67 774860	187 75 775040
2 2	187 67 774860	187 99 774583
2 2	187 67 774860	188 109 774500
2 2	187 67 774860	188 120 775229
2 2	187 67 774860	188 136 775216
2 2	187 81 775111	187 75 775040
2 2	187 81 775111	188 120 775229
2 2	187 81 775111	188 136 775216
2 2	187 75 775040	187 99 774583
2 2	187 75 775040	188 120 775229
2 2	187 75 775040	188 136 775216
2 2	187 99 774583	188 109 774500
2 2	188 120 775229	188 136 775216
2 2	254 34 816595	255 88 816175
tim_033.dat
2 2	139 86 412450	139 104 412931
2 2	238 144 140308	238 154 140429
2 2	238 144 140308	238 161 140580
2 2	238 144 140308	239 180 140133
2 2	238 144 140308	239 192 140790
2 2	238 144 140308	240 203 139836
2 2	238 144 140308	240 216 140150
2 2	238 144 140308	241 244 140531
2 2	238 154 140429	238 161 140580
2 2	238 154 140429	239 180 140133
2 2	238 154 140429	239 192 140790
2 2	238 154 140429	240 216 140150
2 2	238 154 140429	240 223 140900
2 2	238 154 140429	241 244 140531
2 2	238 161 140580	239 180 140133
